Witness,CPAChecker,Ult. Auto.,CPA-w2t,FShell-w2t,Nitwit
0,1,0,1,6,1
1,1,0,1,6,1
2,1,5,1,6,1
3,1,5,1,6,1
4,1,3,1,6,1
5,0,0,1,0,1
6,0,0,1,2,1
7,1,0,1,6,1
8,1,0,1,6,1
9,1,5,1,6,1
10,1,5,1,6,1
11,1,5,1,6,1
12,2,0,1,2,1
13,0,0,1,2,0
14,2,2,1,0,1
15,2,2,1,0,1
16,2,2,1,0,1
17,2,2,1,0,1
18,0,2,1,2,1
19,3,2,0,0,0
20,0,2,1,0,1
21,3,2,1,0,1
22,3,2,1,0,1
23,3,2,1,0,1
24,0,2,1,0,1
25,2,2,1,0,1
26,2,2,1,0,1
27,2,2,1,0,1
28,2,2,1,0,1
29,2,2,1,0,1
30,2,2,1,0,1
31,0,2,1,2,1
32,3,3,3,0,0
33,3,3,3,0,0
34,3,3,3,0,1
35,3,3,3,0,1
36,3,3,3,6,1
37,3,3,3,6,1
38,3,3,3,6,1
39,3,3,3,0,1
40,3,3,3,0,1
41,3,2,0,0,1
42,3,2,0,0,0
43,3,2,0,0,0
44,3,2,0,0,1
45,3,2,0,0,1
46,3,2,0,0,1
47,3,2,0,0,1
48,3,2,0,0,1
49,3,2,0,0,1
50,3,2,0,0,1
51,3,2,0,0,0
52,3,3,3,0,1
53,3,2,0,0,0
54,3,2,0,0,0
55,3,3,3,0,0
56,3,2,0,0,0
57,3,2,0,2,4
58,3,3,3,3,1
59,0,0,1,0,0
60,0,3,1,0,0
61,0,5,1,0,0
62,0,5,1,0,0
63,0,5,1,0,0
64,0,0,1,0,0
65,0,0,1,2,0
66,3,3,3,3,3
67,3,3,3,3,3
68,3,3,3,3,3
69,3,3,3,3,3
70,3,3,3,0,0
71,3,3,3,3,0
72,3,3,3,3,3
73,3,3,3,3,3
74,3,3,3,0,0
75,3,5,3,0,0
76,3,3,3,0,0
77,1,0,1,0,0
78,1,0,1,0,0
79,1,5,1,0,0
80,0,5,1,0,0
81,0,5,1,0,0
82,3,2,0,0,4
83,3,2,0,0,3
84,0,2,0,0,0
85,0,2,0,0,0
86,0,2,0,0,0
87,3,2,0,0,4
88,3,2,0,0,3
89,3,2,2,0,1
90,3,2,2,0,1
91,3,2,2,0,1
92,3,2,2,0,1
93,3,2,2,0,1
94,3,2,2,0,1
95,3,2,2,0,1
96,3,2,2,0,1
97,3,2,2,0,1
98,3,2,0,0,0
99,3,2,0,0,0
100,3,2,0,0,0
101,3,2,0,0,0
102,3,2,0,0,0
103,3,2,0,0,0
104,3,2,0,0,0
105,3,2,0,0,0
106,3,2,0,0,0
107,3,2,0,0,0
108,3,2,0,0,0
109,3,2,0,2,1
110,3,2,0,0,0
111,3,2,0,0,0
112,3,2,0,0,1
113,3,2,0,0,0
114,3,2,0,2,4
115,0,2,1,0,1
116,3,2,1,0,1
117,3,2,1,0,1
118,3,2,1,0,1
119,0,2,1,0,1
120,0,2,1,0,1
121,3,2,2,2,1
122,3,2,2,2,1
123,2,0,1,0,0
124,2,0,1,0,0
125,0,0,1,2,1
126,0,0,1,2,1
127,2,0,1,0,1
128,2,0,1,0,1
129,2,5,1,0,1
130,0,0,1,2,1
131,0,0,1,0,0
132,2,0,1,0,1
133,0,0,1,2,1
134,0,0,1,2,1
135,3,2,2,0,1
136,3,2,2,0,1
137,3,2,2,0,1
138,3,2,2,0,1
139,3,2,2,0,1
140,3,2,2,0,1
141,3,2,2,0,1
142,3,2,2,0,1
143,3,2,2,0,1
144,3,2,0,0,1
145,3,2,0,0,0
146,3,2,0,0,0
147,3,2,0,0,1
148,3,2,0,0,1
149,3,2,0,0,1
150,3,2,0,0,1
151,3,2,0,0,1
152,3,2,0,0,1
153,3,2,0,0,1
154,3,2,0,0,0
155,3,2,0,0,1
156,3,2,0,0,0
157,3,2,2,2,1
158,2,0,1,0,1
159,2,0,1,6,1
160,1,5,1,0,1
161,2,5,1,6,1
162,2,5,1,6,1
163,1,0,1,0,0
164,3,2,1,2,1
165,0,2,1,2,1
166,3,2,2,2,1
167,3,2,2,2,1
168,3,2,0,0,4
169,3,2,0,0,1
170,3,2,0,0,1
171,3,2,2,0,1
172,3,2,2,0,1
173,3,2,2,0,1
174,3,2,2,0,1
175,3,2,2,0,1
176,3,2,2,0,1
177,3,2,2,0,1
178,3,2,2,0,1
179,3,2,2,0,1
180,3,2,0,0,1
181,3,2,0,0,0
182,3,2,0,0,0
183,3,2,0,0,1
184,3,2,0,0,1
185,3,2,0,0,1
186,3,2,0,0,1
187,3,2,0,0,1
188,3,2,0,0,1
189,3,2,0,0,1
190,3,2,0,0,0
191,3,2,0,0,1
192,3,2,0,0,0
193,3,2,0,0,0
194,3,2,0,0,1
195,3,2,0,0,0
196,0,2,0,0,0
197,0,2,0,0,0
198,0,2,0,0,0
199,3,2,0,0,0
200,3,2,0,0,0
201,3,2,1,2,1
202,3,2,2,2,1
203,3,2,2,2,1
204,4,2,4,0,4
205,4,2,4,0,4
206,4,2,4,0,4
207,4,2,4,0,4
208,4,2,4,0,4
209,4,2,4,0,4
210,4,2,4,0,4
211,4,2,4,0,4
212,4,2,4,0,4
213,2,2,1,0,4
214,2,5,0,0,0
215,2,2,1,0,0
216,2,2,1,0,4
217,2,2,1,0,4
218,2,2,1,0,4
219,2,2,1,0,4
220,2,2,1,0,4
221,2,2,1,0,4
222,2,2,1,0,4
223,3,2,0,0,0
224,3,5,0,0,0
225,3,2,0,0,1
226,3,2,0,0,0
227,3,2,2,2,1
228,4,2,4,0,1
229,4,2,4,0,1
230,4,2,4,0,1
231,4,2,4,0,1
232,4,2,4,0,1
233,4,2,4,2,4
234,4,2,4,2,4
235,0,0,0,0,0
236,0,0,1,0,1
237,0,0,1,2,1
238,0,0,1,0,1
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,2,0,0,0
243,0,2,0,0,0
244,0,2,0,0,0
245,0,0,0,0,0
246,0,3,1,6,1
247,2,0,0,0,0
248,2,0,1,2,1
249,0,0,0,0,0
250,0,0,0,0,0
251,0,0,0,0,0
252,0,2,0,0,0
253,0,2,0,0,0
254,0,2,0,0,0
255,2,0,0,0,0
256,2,3,1,6,1
257,0,0,0,2,0
258,0,0,1,2,1
259,0,0,1,2,1
260,0,0,1,2,1
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,2,0,0,0
266,0,2,0,0,0
267,0,0,0,2,0
268,0,3,0,0,0
269,0,0,0,0,0
270,0,2,1,2,1
271,0,2,1,2,1
272,0,2,1,2,1
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,3,1,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,3,2,1,2,1
286,3,2,1,2,1
287,0,2,1,2,0
288,3,2,2,2,1
289,0,0,0,0,0
290,0,2,1,2,1
291,0,2,1,2,1
292,0,2,1,2,1
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,3,2,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,3,1,0,0
301,2,2,1,0,0
302,3,1,1,0,1
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,2,2,1,0,0
309,3,2,0,0,4
310,3,2,0,0,0
311,0,0,0,0,0
312,0,0,1,2,1
313,0,0,1,2,1
314,0,0,1,2,1
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,2,0,0,0
320,0,2,0,0,0
321,0,0,0,0,0
322,0,3,0,0,0
323,0,0,0,0,0
324,0,0,1,0,1
325,0,0,1,2,1
326,0,0,1,2,1
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,2,0,0,0
331,0,2,0,0,0
332,0,2,0,0,0
333,0,0,0,0,0
334,0,3,1,6,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,2,0,0,0
341,3,2,0,0,3
342,3,2,0,0,0
343,0,2,0,0,0
344,0,2,1,2,1
345,0,2,1,2,1
346,0,2,1,2,1
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,2,0,0,0
353,3,2,0,0,3
354,3,2,2,2,1
355,2,0,1,2,0
356,0,0,1,2,0
357,0,0,1,2,0
358,0,0,1,2,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,2,0,2,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,2,0
366,0,3,1,2,1
367,0,0,1,2,1
368,0,0,1,2,1
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,2,1,2,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,1,2,0
376,2,0,1,2,0
377,0,0,1,2,0
378,0,0,1,2,0
379,0,0,1,2,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,2,0,2,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,2,0
387,0,3,1,2,1
388,0,0,0,0,0
389,0,0,0,0,1
390,0,0,0,0,1
391,0,0,1,2,1
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,2,0,0,0
396,0,2,0,0,0
397,0,0,0,0,0
398,3,2,0,0,1
399,2,3,1,6,0
400,0,2,0,0,0
401,3,1,0,0,0
402,0,2,1,0,6
403,0,2,0,0,0
404,0,2,0,0,0
