Witness,CPAchecker,Ult. Auto.,CPA-w2t,FShell-w2t,MetaVal,NITWIT
0,2,0,1,0,2,4
1,1,0,1,0,4,4
2,1,0,1,0,4,4
3,1,5,1,0,4,4
4,1,5,1,0,4,4
5,1,3,1,2,4,4
6,2,0,1,4,2,0
7,0,0,0,4,0,0
8,2,0,0,4,2,0
9,2,0,0,4,2,0
10,0,0,0,4,0,0
11,0,0,0,4,0,0
12,0,0,0,4,0,0
13,0,0,0,4,0,0
14,0,0,0,4,0,0
15,0,0,1,4,0,4
16,2,0,0,4,2,0
17,2,0,0,4,2,0
18,2,0,0,4,2,0
19,2,0,0,4,2,0
20,2,0,0,4,2,0
21,2,0,0,4,2,0
22,0,0,0,4,0,0
23,0,0,0,4,0,0
24,2,0,0,4,2,0
25,2,0,0,4,2,0
26,0,0,0,4,0,0
27,0,0,0,4,0,0
28,0,0,0,4,0,0
29,0,0,0,4,0,0
30,0,0,0,4,0,0
31,0,0,0,4,0,0
32,0,0,0,4,0,0
33,0,0,0,4,0,0
34,0,0,0,4,0,0
35,0,0,0,4,0,0
36,0,0,0,4,0,0
37,0,0,0,4,0,0
38,0,0,0,4,0,0
39,0,0,0,4,0,0
40,0,0,0,4,0,0
41,2,0,0,4,2,0
42,0,0,0,4,0,0
43,2,0,0,4,2,0
44,2,0,0,4,2,0
45,0,0,0,4,0,0
46,0,0,0,4,0,0
47,0,0,0,4,0,0
48,0,0,0,4,0,0
49,0,0,0,4,0,0
50,2,0,0,4,2,0
51,0,0,0,4,0,0
52,0,0,0,4,0,0
53,2,0,0,4,2,0
54,0,0,0,4,0,0
55,0,0,0,4,0,0
56,2,0,0,4,2,0
57,0,0,0,4,0,0
58,0,0,0,4,0,0
59,2,0,0,4,2,0
60,0,0,0,4,0,0
61,0,0,0,4,0,0
62,0,0,0,4,0,0
63,0,0,0,4,0,0
64,0,0,0,4,0,0
65,0,0,0,4,0,0
66,0,0,0,4,0,0
67,0,0,0,4,0,0
68,0,0,0,4,0,0
69,0,0,0,4,0,0
70,2,0,0,4,2,0
71,0,0,0,4,0,0
72,0,0,0,4,0,0
73,0,0,0,4,0,0
74,0,0,0,4,0,0
75,0,0,0,4,0,0
76,0,0,1,0,4,0
77,0,0,0,2,4,0
78,0,0,0,0,4,0
79,0,0,0,0,4,0
80,0,0,0,0,4,0
81,0,0,0,0,4,0
82,0,0,0,0,4,0
83,2,0,0,0,4,0
84,0,0,0,0,4,0
85,0,0,0,0,4,0
86,0,0,0,0,4,4
87,0,0,0,0,4,0
88,0,0,0,0,4,0
89,0,0,1,2,4,0
90,0,0,1,2,4,0
91,0,0,0,0,4,0
92,2,3,1,2,4,4
93,0,0,0,0,4,0
94,0,0,0,0,4,0
95,2,3,1,2,4,4
96,2,3,1,2,4,4
97,0,0,0,0,4,0
98,0,0,0,0,4,0
99,0,0,0,0,4,0
100,0,0,0,0,4,0
101,0,0,0,0,4,0
102,0,0,0,0,4,0
103,0,0,0,0,4,0
104,2,3,1,2,4,0
105,2,3,1,2,4,0
106,2,3,1,2,4,0
107,0,0,0,0,4,0
108,0,0,0,0,4,0
109,0,0,0,0,4,0
110,0,0,0,0,4,0
111,0,0,0,0,4,0
112,0,0,1,2,4,0
113,0,0,0,0,4,0
114,0,0,1,2,4,0
115,0,0,0,0,4,0
116,0,0,0,0,4,0
117,0,0,0,0,4,0
118,0,0,0,0,4,0
119,0,0,0,0,4,0
120,0,0,0,0,4,0
121,0,0,0,0,4,0
122,0,0,0,0,4,0
123,0,0,0,0,4,0
124,0,0,0,0,4,0
125,0,0,0,0,4,0
126,0,0,0,0,4,0
127,0,0,0,0,4,0
