Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
0,1,2,2,3,1,0,0
1,1,1,0,2,1,0,0
2,1,1,0,2,1,0,0
3,1,1,0,2,1,3,3
4,1,1,0,2,1,3,3
5,1,1,0,2,1,3,3
6,1,2,0,2,0,0,0
7,0,0,0,2,0,0,0
8,0,2,0,2,0,0,0
9,0,2,0,2,0,0,0
10,0,0,0,2,0,0,0
11,0,0,0,2,0,0,0
12,0,0,0,2,0,0,0
13,0,0,0,2,0,0,0
14,0,0,0,2,0,0,0
15,1,0,0,2,1,0,0
16,0,2,0,2,0,0,0
17,0,2,0,2,0,0,0
18,0,2,0,2,0,0,0
19,0,0,0,2,0,0,0
20,0,2,0,2,0,0,0
21,0,2,0,2,0,0,0
22,0,0,0,2,0,0,0
23,0,0,0,2,0,0,0
24,0,2,0,2,0,0,0
25,0,2,0,2,0,0,0
26,0,0,0,2,0,0,0
27,0,0,0,2,0,0,0
28,0,0,0,2,0,0,0
29,0,0,0,2,0,0,0
30,0,0,0,2,0,0,0
31,0,0,0,2,0,0,0
32,0,0,0,3,0,0,0
33,0,2,0,2,0,0,0
34,0,2,0,2,0,0,0
35,0,2,0,2,0,0,0
36,0,0,0,2,0,0,0
37,0,0,0,2,0,0,0
38,0,0,0,2,0,0,0
39,0,0,0,2,0,0,0
40,0,0,0,2,0,0,0
41,0,0,0,2,0,0,0
42,0,0,0,2,0,0,0
43,0,0,0,2,0,0,0
44,0,2,0,2,0,0,0
45,0,2,0,2,0,0,0
46,0,0,0,2,0,0,0
47,0,2,0,2,0,0,0
48,0,0,0,3,0,0,0
49,0,0,0,2,0,0,0
50,0,2,0,2,0,0,0
51,0,0,0,2,0,0,0
52,0,0,0,2,0,0,0
53,0,2,0,2,0,0,0
54,0,0,0,2,0,0,0
55,0,0,0,2,0,0,0
56,0,2,0,2,0,0,0
57,0,0,0,2,0,0,0
58,0,0,0,2,0,0,0
59,0,2,0,2,0,0,0
60,0,0,0,2,0,0,0
61,0,0,0,2,0,0,0
62,0,0,0,2,0,0,0
63,0,0,0,2,0,0,0
64,0,0,0,2,0,0,0
65,0,0,0,2,0,0,0
66,0,0,0,2,0,0,0
67,0,0,0,2,0,0,0
68,0,0,0,3,0,0,0
69,0,0,0,2,0,0,0
70,0,2,0,2,0,0,0
71,0,2,0,2,0,0,0
72,0,2,0,2,0,0,0
73,0,2,0,2,0,0,0
74,0,2,0,2,0,0,0
75,0,2,0,2,0,0,0
76,0,3,0,3,1,0,2
77,0,3,0,3,1,0,2
78,0,3,0,3,1,0,2
79,0,3,0,3,1,0,2
80,0,3,0,3,1,0,2
81,0,3,0,3,1,0,2
82,0,3,0,3,1,0,2
83,0,3,0,3,1,0,2
84,0,3,0,3,1,0,2
85,0,3,0,3,1,0,2
86,0,3,0,3,1,0,2
87,1,0,2,2,1,0,0
88,1,1,0,2,1,0,0
89,1,1,0,2,1,0,0
90,1,1,0,2,1,3,3
91,1,1,0,2,1,3,3
92,1,1,0,2,1,3,3
93,0,0,0,3,0,0,2
94,1,0,2,2,0,3,0
95,1,0,2,2,0,3,0
96,1,0,2,2,0,3,0
97,1,0,2,2,0,3,0
98,1,0,2,2,0,3,0
99,1,0,2,2,0,3,0
100,0,0,0,3,0,0,2
101,0,0,0,2,0,0,2
102,0,0,0,2,0,0,2
103,1,0,2,2,4,3,0
104,1,0,2,2,4,3,0
105,1,0,2,2,0,3,0
106,1,0,2,2,0,3,0
107,1,0,2,2,0,3,0
108,1,0,2,2,0,3,0
109,1,0,2,2,0,3,0
110,1,0,2,2,4,3,0
111,1,0,2,2,0,3,0
112,1,0,2,2,0,3,0
113,1,0,2,2,0,3,0
114,1,0,2,2,0,3,0
115,0,0,0,2,0,0,2
116,1,0,2,2,0,3,0
117,1,0,2,2,0,3,0
118,1,0,2,2,0,3,0
